polygon,allowed_rotations,quantity
8 0.0 8.0 1.0 7.0 7.0 5.0 12.0 0.0 15.0 3.0 10.0 8.0 11.0 9.0 1.0 9.0,2,3
9 2.0 12.0 0.0 0.0 4.0 0.0 4.0 1.0 5.0 1.0 5.0 0.0 9.0 0.0 9.0 2.0 5.0 12.0,2,3
8 2.0 24.0 0.0 18.0 0.0 6.0 2.0 0.0 9.0 0.0 11.0 6.0 11.0 18.0 9.0 24.0,2,3
4 0.0 15.0 0.0 0.0 14.0 0.0 14.0 15.0,2,3
4 0.0 0.0 9.0 0.0 7.0 5.0 2.0 5.0,2,3
7 0.0 32.0 1.0 3.0 3.0 0.0 6.0 1.0 11.0 11.0 5.0 31.0 2.0 33.0,2,3
5 0.0 3.0 5.0 0.0 23.0 0.0 13.0 5.0 1.0 5.0,2,3
10 1.0 0.0 4.0 0.0 5.0 6.0 4.0 6.0 4.0 5.0 3.0 4.0 2.0 4.0 1.0 5.0 1.0 6.0 0.0 6.0,2,3
4 0.0 2.0 1.0 0.0 8.0 0.0 6.0 3.0,2,3
3 0.0 0.0 14.0 0.0 5.0 6.4,2,3
