polygon,allowed_rotations,quantity
3 0.0 0.0 2.0 0.0 0.0 2.0,4,1
3 0.0 0.0 3.0 0.0 0.0 3.0,4,1
3 0.0 0.0 4.0 0.0 0.0 4.0,4,1
3 5.0 0.0 5.0 5.0 0.0 5.0,4,1
3 0.0 3.0 6.0 0.0 6.0 3.0,4,1
3 0.0 4.0 7.0 0.0 7.0 4.0,4,1
6 0.0 0.0 5.0 0.0 5.0 3.0 3.0 3.0 3.0 5.0 0.0 5.0,4,1
6 0.0 0.0 4.0 0.0 4.0 1.0 2.0 1.0 2.0 4.0 0.0 4.0,4,1
6 0.0 0.0 6.0 0.0 6.0 3.0 4.0 3.0 4.0 6.0 0.0 6.0,4,1
6 0.0 0.0 5.0 0.0 5.0 2.0 3.0 2.0 3.0 1.0 0.0 1.0,4,1
6 0.0 0.0 4.0 0.0 4.0 2.0 3.0 2.0 3.0 1.0 0.0 1.0,4,1
6 0.0 0.0 6.0 0.0 6.0 3.0 4.0 3.0 4.0 6.0 0.0 6.0,4,1
4 0.0 0.0 6.0 0.0 6.0 6.0 0.0 6.0,4,1
4 0.0 0.0 5.0 0.0 5.0 5.0 0.0 5.0,4,1
4 0.0 0.0 4.0 0.0 4.0 4.0 0.0 4.0,4,1
12 2.0 0.0 4.0 0.0 4.0 2.0 6.0 2.0 6.0 4.0 4.0 4.0 4.0 6.0 2.0 6.0 2.0 4.0 0.0 4.0 0.0 2.0 2.0 2.0,4,1
12 1.0 0.0 2.0 0.0 2.0 1.0 3.0 1.0 3.0 2.0 2.0 2.0 2.0 3.0 1.0 3.0 1.0 2.0 0.0 2.0 0.0 1.0 1.0 1.0,4,1
12 2.0 0.0 4.0 0.0 4.0 2.0 6.0 2.0 6.0 4.0 4.0 4.0 4.0 6.0 2.0 6.0 2.0 4.0 0.0 4.0 0.0 2.0 2.0 2.0,4,1
12 1.0 0.0 2.0 0.0 2.0 1.0 3.0 1.0 3.0 2.0 2.0 2.0 2.0 3.0 1.0 3.0 1.0 2.0 0.0 2.0 0.0 1.0 1.0 1.0,4,1
4 0.0 0.0 6.0 0.0 6.0 3.0 0.0 3.0,4,1
4 0.0 0.0 1.0 0.0 1.0 4.0 0.0 4.0,4,1
4 0.0 0.0 5.0 0.0 5.0 2.0 0.0 2.0,4,1
8 2.0 0.0 4.0 0.0 6.0 2.0 6.0 4.0 4.0 6.0 2.0 6.0 0.0 4.0 0.0 2.0,4,1
8 3.0 0.0 6.0 0.0 8.0 2.0 8.0 4.0 6.0 6.0 3.0 6.0 0.0 4.0 0.0 2.0,4,1
8 0.0 1.0 2.0 0.0 4.0 0.0 6.0 1.0 6.0 2.0 4.0 3.0 2.0 3.0 0.0 2.0,4,1
